region_nom,code_circonscription,nom_circonscription,nb_bureaux_vote,inscrits,votants,taux_participation,bulletins_nuls,suffrages_exprimes,bulletins_blancs_nombre,bulletins_blancs_pourcentage,parti_politique,nom_liste_candidat,score_voix,pourcentage_voix,est_elu,region_nom_norm,nom_circonscription_norm,nom_liste_candidat_norm,parti_politique_norm
LA ME,142,"AGOU, BECEDI-BRIGNAN ET YAKASSE-ME, COMMUNES ET SOUS-PREFECTURES",86,32407,10322,0.3185,270,10052,70,0.006999999999999999,INDEPENDANT,ASSEUHI AKA JULIEN SERGE,508,0.050499999999999996,False,la me,"agou, becedi-brignan et yakasse-me, communes et sous-prefectures",asseuhi aka julien serge,independant
LA ME,142,"AGOU, BECEDI-BRIGNAN ET YAKASSE-ME, COMMUNES ET SOUS-PREFECTURES",86,32407,10322,0.3185,270,10052,70,0.006999999999999999,RHDP,YAPI N'CHO FLORENT,5019,0.4993,True,la me,"agou, becedi-brignan et yakasse-me, communes et sous-prefectures",yapi n'cho florent,rhdp
LA ME,143,"ADZOPE, SOUS-PREFECTURE, ANNEPE ET ASSIKOI, COMMUNES ET SOUS-PREFECTURES",89,33376,12344,0.36979999999999996,268,12076,97,0.008,MGC,YAPI CLOTIDE OHOUOCHI,366,0.0364,False,la me,"adzope, sous-prefecture, annepe et assikoi, communes et sous-prefectures",yapi clotide ohouochi,mgc
LA ME,143,"ADZOPE, SOUS-PREFECTURE, ANNEPE ET ASSIKOI, COMMUNES ET SOUS-PREFECTURES",89,33376,12344,0.36979999999999996,268,12076,97,0.008,INDEPENDANT,ASSAMOI ODI ANGE MITTERAND BIENVENU,1351,0.1119,False,la me,"adzope, sous-prefecture, annepe et assikoi, communes et sous-prefectures",assamoi odi ange mitterand bienvenu,independant
LA ME,143,"ADZOPE, SOUS-PREFECTURE, ANNEPE ET ASSIKOI, COMMUNES ET SOUS-PREFECTURES",89,33376,12344,0.36979999999999996,268,12076,97,0.008,RHDP,BOTCHI ASSI ABEL,8207,0.6796,True,la me,"adzope, sous-prefecture, annepe et assikoi, communes et sous-prefectures",botchi assi abel,rhdp
LA ME,143,"ADZOPE, SOUS-PREFECTURE, ANNEPE ET ASSIKOI, COMMUNES ET SOUS-PREFECTURES",89,33376,12344,0.36979999999999996,268,12076,97,0.008,ADCI,KAKOU SEKA MARCEL SYLVESTRE,207,0.0171,False,la me,"adzope, sous-prefecture, annepe et assikoi, communes et sous-prefectures",kakou seka marcel sylvestre,adci
LA ME,143,"ADZOPE, SOUS-PREFECTURE, ANNEPE ET ASSIKOI, COMMUNES ET SOUS-PREFECTURES",89,33376,12344,0.36979999999999996,268,12076,97,0.008,INDEPENDANT,ABENIN YAPO,1339,0.1109,False,la me,"adzope, sous-prefecture, annepe et assikoi, communes et sous-prefectures",abenin yapo,independant
LA ME,143,"ADZOPE, SOUS-PREFECTURE, ANNEPE ET ASSIKOI, COMMUNES ET SOUS-PREFECTURES",89,33376,12344,0.36979999999999996,268,12076,97,0.008,FPI,ASSI ROMEO,875,0.0725,False,la me,"adzope, sous-prefecture, annepe et assikoi, communes et sous-prefectures",assi romeo,fpi
LA ME,143,"ADZOPE, SOUS-PREFECTURE, ANNEPE ET ASSIKOI, COMMUNES ET SOUS-PREFECTURES",89,33376,12344,0.36979999999999996,268,12076,97,0.008,FNDR,BROU BEDA ROGER,934,0.13949999999999999,False,la me,"adzope, sous-prefecture, annepe et assikoi, communes et sous-prefectures",brou beda roger,fndr
LA ME,143,"ADZOPE, SOUS-PREFECTURE, ANNEPE ET ASSIKOI, COMMUNES ET SOUS-PREFECTURES",89,33376,12344,0.36979999999999996,268,12076,97,0.008,INDEPENDANT,N'GUESSAN-BECHIE PAUL,2686,0.40130000000000005,False,la me,"adzope, sous-prefecture, annepe et assikoi, communes et sous-prefectures",n'guessan-bechie paul,independant
LA ME,144,"AFFERY, COMMUNE ET SOUS-PREFECTURE",41,16380,6980,0.4261,287,6693,20,0.003,ADCI,YAPO BEDA ARSENE DESIRE,133,0.0199,False,la me,"affery, commune et sous-prefecture",yapo beda arsene desire,adci
